MES,ID_EMPRESA,ID_CONTA_CONTABIL,BP_TECWAY
01/2024,6,1.1.01.01.000001,0.0
01/2024,6,1.1.01.01.000006,0.0
01/2024,6,1.1.01.01.000020,0.0
01/2024,6,1.1.01.03.000002,0.0
01/2024,6,1.1.01.03.000010,0.001
01/2024,6,1.1.01.03.000011,0.0
01/2024,6,1.1.01.03.000019,-0.0
01/2024,6,1.1.01.03.000026,0.0
01/2024,6,1.1.01.04.000010,8.29009
01/2024,6,1.1.01.04.000012,0.0
01/2024,6,1.1.02.05.000001,0.0
01/2024,6,1.1.02.05.000032,0.0
01/2024,6,1.1.02.05.000169,326.11509
01/2024,6,1.1.02.05.000170,33.39967
01/2024,6,1.1.02.05.000189,0.0
01/2024,6,1.1.02.05.000192,0.0
01/2024,6,1.1.02.05.000371,0.0
01/2024,6,1.1.02.07.000001,4.66961
01/2024,6,1.1.02.07.000003,-0.0
01/2024,6,1.1.02.07.000004,-0.0
01/2024,6,1.1.02.07.000005,0.0
01/2024,6,1.1.02.07.000007,0.0
01/2024,6,1.1.02.07.000008,0.0
01/2024,6,1.1.02.07.000009,0.0
01/2024,6,1.1.02.08.000002,0.0
01/2024,6,1.1.02.08.000003,0.0
01/2024,6,1.1.02.09.000001,0.00319
01/2024,6,1.1.02.09.000009,0.0
01/2024,6,1.1.02.10.000001,23580.0
01/2024,6,1.1.02.12.000001,0.0
01/2024,6,1.1.03.01.000002,0.0
01/2024,6,1.1.03.01.000006,0.2
01/2024,6,1.1.03.01.000009,4428.75513
01/2024,6,1.1.03.01.000010,0.0
01/2024,6,1.1.03.03.000001,302.73678
01/2024,6,1.1.03.03.000002,15.0
01/2024,6,1.1.03.04.000001,0.0
01/2024,6,1.1.03.04.000002,0.0
01/2024,6,1.1.04.01.000001,1580.00046
01/2024,6,1.2.02.03.000001,0.0
01/2024,6,1.2.02.03.000002,56.11221
01/2024,6,1.2.03.01.000001,8721.59162
01/2024,6,1.2.03.01.000003,6.28016
01/2024,6,1.2.03.01.000005,1.096
01/2024,6,1.2.03.01.000006,0.0
01/2024,6,1.2.03.02.000001,-0.74588
01/2024,6,1.2.03.02.000002,-0.07307
01/2024,6,1.2.03.02.000004,-6109.87482
01/2024,6,1.2.03.02.000007,0.0
01/2024,6,1.2.05.03.000001,303.21588
01/2024,6,1.2.05.03.000002,15.0
01/2024,6,2.1.01.01.000005,0.0
01/2024,6,2.1.01.02.000001,0.0
01/2024,6,2.1.01.02.000002,0.0
01/2024,6,2.1.01.02.000019,-4.63
01/2024,6,2.1.01.02.000034,-1.63244
01/2024,6,2.1.01.02.000043,-1.25
01/2024,6,2.1.01.02.000046,-0.0
01/2024,6,2.1.01.02.000051,0.0
01/2024,6,2.1.01.02.000053,0.0
01/2024,6,2.1.01.02.000104,0.0
01/2024,6,2.1.01.02.000113,0.0
01/2024,6,2.1.01.02.000137,-0.0
01/2024,6,2.1.01.02.000148,0.0
01/2024,6,2.1.01.02.000149,-4.58
01/2024,6,2.1.01.02.000154,0.0
01/2024,6,2.1.01.02.000155,0.0
01/2024,6,2.1.01.02.000194,0.0
01/2024,6,2.1.01.02.000214,0.0
01/2024,6,2.1.01.02.000217,-1.35
01/2024,6,2.1.01.02.000224,-0.0
01/2024,6,2.1.01.02.000228,0.0
01/2024,6,2.1.01.02.000234,0.0
01/2024,6,2.1.01.02.000269,-25.66666
01/2024,6,2.1.01.02.000294,0.0
01/2024,6,2.1.01.02.000300,0.0
01/2024,6,2.1.01.02.000307,0.0
01/2024,6,2.1.01.02.000313,-13.50697
01/2024,6,2.1.01.02.000314,0.0
01/2024,6,2.1.01.02.000318,-0.0
01/2024,6,2.1.01.02.000349,-1.45
01/2024,6,2.1.01.02.000391,-0.0
01/2024,6,2.1.01.02.000405,-0.0
01/2024,6,2.1.01.02.000427,0.0
01/2024,6,2.1.01.02.000430,-0.0
01/2024,6,2.1.01.02.000455,0.0
01/2024,6,2.1.01.02.000457,0.0
01/2024,6,2.1.01.02.000460,0.0
01/2024,6,2.1.01.02.000473,0.0
