MES,ID_EMPRESA,ID_CONTA_CONTABIL,DRE_TECWAY
01/2022,6,3.1.01.01.000002,499.98153
01/2022,6,3.1.01.01.000003,0.0
01/2022,6,3.1.02.02.000002,-9.99963
01/2022,6,3.1.02.02.000003,-8.24997
01/2022,6,3.1.02.02.000004,-37.99984
01/2022,6,3.1.02.02.000009,0.0
01/2022,6,3.1.02.02.000010,0.0
01/2022,6,3.1.03.02.000003,0.0
01/2022,6,4.1.01.01.000001,-83.71376
01/2022,6,4.1.01.01.000002,0.0
01/2022,6,4.1.01.01.000003,0.0
01/2022,6,4.1.01.01.000009,0.0
01/2022,6,4.1.01.02.000001,-23.06697
01/2022,6,4.1.01.02.000002,-6.32685
01/2022,6,4.1.01.02.000003,-0.49658
01/2022,6,4.1.01.02.000004,0.0
01/2022,6,4.1.01.02.000006,0.0
01/2022,6,4.1.01.02.000007,0.0
01/2022,6,4.1.01.03.000001,-4.08
01/2022,6,4.1.01.03.000003,0.0
01/2022,6,4.1.01.03.000004,0.0
01/2022,6,4.1.01.03.000006,-0.426
01/2022,6,4.1.01.03.000009,0.0
01/2022,6,4.1.01.03.000010,0.0
01/2022,6,4.1.01.04.000004,0.0
01/2022,6,4.1.01.05.000001,0.0
01/2022,6,4.1.01.05.000002,0.0
01/2022,6,4.1.01.05.000003,0.0
01/2022,6,4.1.01.05.000006,-244.41165
01/2022,6,4.1.01.06.000001,0.0
01/2022,6,4.1.01.06.000002,0.0
01/2022,6,4.1.01.06.000004,-11.39
01/2022,6,4.1.01.07.000007,0.0
01/2022,6,4.1.01.07.000012,0.0
01/2022,6,4.1.01.07.000013,0.0
01/2022,6,4.1.01.07.000014,0.0
01/2022,6,4.1.01.08.000001,0.0
01/2022,6,4.1.01.08.000004,-2.50879
01/2022,6,4.1.01.08.000005,0.0
01/2022,6,4.1.01.08.000006,0.0
01/2022,6,4.1.01.11.000002,0.0
01/2022,6,4.1.01.11.000008,0.0
01/2022,6,4.1.01.11.000009,0.0
01/2022,6,4.1.01.11.000025,0.0
01/2022,6,5.1.01.01.000001,0.0
01/2022,6,5.1.01.01.000003,0.0
01/2022,6,5.1.01.01.000004,0.0
01/2022,6,5.1.01.02.000001,0.0
01/2022,6,5.1.01.02.000002,0.0
01/2022,6,5.1.01.02.000004,0.0
01/2022,6,5.1.01.02.000005,0.0
01/2022,6,5.1.01.02.000007,0.0
01/2022,6,5.1.01.03.000001,0.0
01/2022,6,5.1.01.03.000004,0.0
01/2022,6,5.1.01.03.000006,0.0
01/2022,6,5.1.01.03.000009,0.0
01/2022,6,5.1.01.03.000010,0.0
01/2022,6,5.1.01.04.000001,0.0
01/2022,6,5.1.01.04.000002,0.0
