CTACTB,SALDO_999_30_09_2026,ORFA_BP_INTERNO,ORFA_BP_EXTERNO
2.1.01.06.000034,-5550000.0,SIM,SIM
2.1.02.05.000001,-618865.74,SIM,SIM
2.1.01.06.000035,550000.0,SIM,SIM
2.3.04.01.000006,-470445.5,SIM,SIM
2.1.02.01.000007,-302504.61,SIM,SIM
2.1.02.05.000002,275556.45,SIM,SIM
2.1.02.05.000007,-146065.04,SIM,SIM
1.1.03.01.000014,140788.66,SIM,SIM
1.1.02.05.000597,95000.0,SIM,SIM
1.1.02.05.000622,89571.0,SIM,SIM
2.1.02.05.000008,64080.73,SIM,SIM
1.1.02.05.000405,63000.0,SIM,SIM
2.1.01.02.002214,-35000.0,,SIM
2.1.01.02.002186,-26321.31,,SIM
2.1.01.02.002176,-26100.0,,SIM
2.1.01.02.002144,-20830.0,,SIM
2.1.01.02.002142,-19235.0,,SIM
1.1.02.05.000613,16426.07,SIM,SIM
2.1.01.02.002195,-13747.5,,SIM
2.1.01.02.002168,-11602.35,,SIM
1.1.03.02.000001,11008.63,SIM,SIM
2.1.02.05.000009,10464.61,SIM,
2.1.01.02.002193,-8550.0,,SIM
2.1.01.02.002197,-6500.0,,SIM
2.1.01.02.002165,-4500.0,,SIM
2.1.01.02.002216,-3420.0,,SIM
2.1.01.02.002175,-2478.0,,SIM
2.1.01.02.002205,-2200.0,,SIM
2.1.01.02.002211,-2088.0,,SIM
1.1.02.05.000620,1000.0,SIM,SIM
1.1.03.03.000008,235.0,SIM,SIM
2.1.01.04.000019,-49.7,SIM,SIM
2.1.01.02.002215,-34.19,,SIM
2.1.01.02.002206,-29.07,,SIM
1.1.02.05.000194,16.0,SIM,SIM
2.1.01.02.002179,-2.85,,SIM
