CODEMP,REFERENCIA,LINHAS
1,2021-12,247
1,2022-01,446
1,2022-02,431
1,2022-03,492
1,2022-04,436
1,2022-05,460
1,2022-06,440
1,2022-07,444
1,2022-08,453
1,2022-09,445
1,2022-10,439
1,2022-11,470
1,2022-12,562
1,2023-01,588
1,2023-02,319
1,2023-03,387
1,2023-04,368
1,2023-05,367
1,2023-06,333
1,2023-07,352
1,2023-08,356
1,2023-09,324
1,2023-10,334
1,2023-11,340
1,2023-12,524
1,2024-01,349
1,2024-02,333
1,2024-03,384
1,2024-04,368
1,2024-05,353
1,2024-06,352
1,2024-07,374
1,2024-08,369
1,2024-09,366
1,2024-10,334
1,2024-11,324
1,2024-12,471
1,2025-01,341
1,2025-02,349
1,2025-03,325
1,2025-04,337
1,2025-05,330
1,2025-06,336
1,2025-07,321
1,2025-08,340
1,2025-09,352
1,2025-10,296
1,2025-11,287
1,2025-12,412
1,2026-01,294
1,2026-02,265
1,2026-03,336
2,2022-01,28
2,2022-02,35
2,2022-03,48
2,2022-04,60
2,2022-05,56
2,2022-06,43
2,2022-07,52
2,2022-08,46
2,2022-09,48
2,2022-10,41
2,2022-11,59
2,2022-12,92
2,2023-01,67
2,2023-02,55
2,2023-03,70
2,2023-04,62
2,2023-05,70
2,2023-06,78
2,2023-07,78
2,2023-08,78
2,2023-09,66
2,2023-10,63
2,2023-11,69
2,2023-12,108
2,2024-01,78
2,2024-02,82
2,2024-03,80
2,2024-04,78
2,2024-05,69
2,2024-06,73
2,2024-07,103
2,2024-08,101
2,2024-09,79
2,2024-10,84
2,2024-11,66
2,2024-12,140
2,2025-01,79
2,2025-02,83
2,2025-03,98
2,2025-04,81
2,2025-05,94
2,2025-06,94
2,2025-07,82
2,2025-08,83
2,2025-09,87
2,2025-10,92
2,2025-11,80
2,2025-12,117
2,2026-01,68
2,2026-02,66
2,2026-03,84
3,2026-01,5
4,2023-07,7
4,2023-10,2
4,2023-11,6
4,2023-12,9
4,2024-01,8
4,2024-02,8
4,2024-03,5
4,2024-04,5
4,2024-07,9
4,2024-08,7
4,2024-09,8
4,2024-10,7
4,2024-11,11
4,2024-12,12
4,2025-01,7
4,2025-02,7
4,2025-03,3
4,2025-04,3
4,2025-10,3
4,2025-12,8
4,2026-02,4
6,2021-12,58
6,2022-01,81
6,2022-02,90
6,2022-03,93
6,2022-04,89
6,2022-05,94
6,2022-06,100
6,2022-07,99
6,2022-08,114
6,2022-09,104
6,2022-10,97
6,2022-11,86
6,2022-12,154
6,2023-01,119
6,2023-02,84
6,2023-03,115
6,2023-04,100
6,2023-05,94
6,2023-06,98
6,2023-07,112
6,2023-08,107
6,2023-09,80
6,2023-10,98
6,2023-11,78
6,2023-12,147
6,2024-01,99
6,2024-02,89
6,2024-03,93
6,2024-04,106
6,2024-05,116
6,2024-06,93
6,2024-07,120
6,2024-08,113
6,2024-09,110
6,2024-10,95
6,2024-11,95
6,2024-12,140
6,2025-01,82
6,2025-02,81
6,2025-03,85
6,2025-04,84
6,2025-05,91
6,2025-06,98
6,2025-07,89
6,2025-08,84
6,2025-09,87
6,2025-10,92
6,2025-11,89
6,2025-12,106
6,2026-01,86
6,2026-02,76
6,2026-03,107
7,2022-12,23
7,2023-01,93
7,2023-02,84
7,2023-03,94
7,2023-04,84
7,2023-05,89
7,2023-06,84
7,2023-07,91
7,2023-08,89
7,2023-09,92
7,2023-10,98
7,2023-11,86
7,2023-12,122
7,2024-01,91
7,2024-02,82
7,2024-03,94
7,2024-04,110
7,2024-05,109
7,2024-06,102
7,2024-07,101
7,2024-08,105
7,2024-09,106
7,2024-10,92
7,2024-11,89
7,2024-12,131
7,2025-01,97
7,2025-02,94
7,2025-03,90
7,2025-04,97
7,2025-05,100
7,2025-06,100
7,2025-07,99
7,2025-08,98
7,2025-09,98
7,2025-10,104
7,2025-11,97
7,2025-12,131
7,2026-01,89
7,2026-02,94
7,2026-03,109
11,2023-12,23
11,2024-01,35
11,2024-02,29
11,2024-03,35
11,2024-04,25
11,2024-05,20
11,2024-06,36
11,2024-07,33
11,2024-08,21
11,2024-09,33
11,2024-10,15
11,2024-11,15
11,2024-12,27
11,2025-01,35
11,2025-02,17
11,2025-03,25
11,2025-04,15
11,2025-05,18
11,2025-06,22
11,2025-07,15
11,2025-08,15
11,2025-09,23
11,2025-10,20
11,2025-11,16
11,2025-12,22
14,2024-01,59
14,2024-02,59
14,2024-03,87
14,2024-04,74
14,2024-05,75
14,2024-06,99
14,2024-07,74
14,2024-08,71
14,2024-09,93
14,2024-10,51
14,2024-11,57
14,2024-12,92
15,2023-12,60
15,2024-01,58
15,2024-02,50
15,2024-03,72
15,2024-04,51
15,2024-05,56
15,2024-06,71
15,2024-07,53
15,2024-08,47
15,2024-09,61
15,2024-10,37
15,2024-11,38
15,2024-12,45
16,2024-06,25
16,2024-07,22
16,2024-08,18
16,2024-09,22
16,2024-10,27
16,2024-11,24
16,2024-12,36
16,2025-01,27
16,2025-02,25
16,2025-03,20
16,2025-04,23
16,2025-05,21
16,2025-06,16
16,2025-07,11
16,2025-08,18
16,2025-09,19
16,2025-10,46
16,2025-11,52
