CTACTB,FALTA_EM_EST7_DET201,FALTA_EM_EST2_REF82,SALDO_999_ATE_2026_03
2.1.01.01.000001,,SIM,-0.0
2.1.01.01.000002,,SIM,-0.0
2.1.01.02.002085,,SIM,-0.0
2.1.01.02.002086,,SIM,-0.0
2.1.01.02.002105,SIM,SIM,-0.0
2.1.01.02.002106,SIM,,-0.0
2.1.01.02.002107,SIM,,-0.0
2.1.01.02.002108,SIM,,-0.0
2.1.01.02.002109,SIM,,-0.0
2.1.01.02.002110,SIM,,-0.0
2.1.01.02.002111,SIM,,-0.0
2.1.01.02.002112,SIM,,-0.0
2.1.01.02.002113,SIM,,-0.0
2.1.01.02.002114,SIM,,350.0
2.1.01.02.002115,SIM,,54.0
2.1.01.02.002116,SIM,,-0.0
2.1.01.02.002117,SIM,,-0.0
2.1.01.02.002118,SIM,,-0.0
2.1.01.02.002119,SIM,,-0.0
2.1.01.02.002137,SIM,SIM,-0.0
2.1.01.02.002138,SIM,SIM,-0.0
2.1.01.02.002139,SIM,SIM,-0.0
2.1.01.02.002140,SIM,SIM,1800.0
2.1.01.02.002141,SIM,SIM,-0.0
2.1.01.02.002142,SIM,SIM,9385.0
2.1.01.02.002143,SIM,SIM,-0.0
2.1.01.02.002144,SIM,SIM,5500.0
2.1.01.02.002145,SIM,SIM,-0.0
2.1.01.02.002146,SIM,SIM,-0.0
2.1.01.02.002148,SIM,SIM,-0.0
2.1.01.02.002158,SIM,SIM,-0.0
2.1.01.02.002159,SIM,SIM,-0.0
2.1.01.02.002160,SIM,SIM,-0.0
2.1.01.02.002161,SIM,SIM,-0.0
2.1.01.02.002162,SIM,SIM,-0.0
2.1.01.02.002163,SIM,SIM,-0.0
