CODEMP,REFERENCIA,MOVIMENTO_MES,SALDO_ACUMULADO
1,2021-12,2190135.05,2190135.05
1,2022-01,5637736.76,7827871.81
1,2022-02,3003706.64,10831578.45
1,2022-03,-7703866.49,3127711.96
1,2022-04,-1035945.73,2091766.23
1,2022-05,-44262.18,2047504.05
1,2022-06,-945941.65,1101562.4
1,2022-07,3526258.98,4627821.38
1,2022-08,-378866.84,4248954.54
1,2022-09,-1050419.6,3198534.94
1,2022-10,865943.55,4064478.49
1,2022-11,-177635.79,3886842.7
1,2022-12,4452564.11,8339406.81
1,2023-01,-6332373.13,2007033.68
1,2023-02,279389.14,2286422.82
1,2023-03,177653.0,2464075.82
1,2023-04,-403464.21,2060611.61
1,2023-05,-160151.35,1900460.26
1,2023-06,141083.02,2041543.28
1,2023-07,-151792.41,1889750.87
1,2023-08,612362.08,2502112.95
1,2023-09,308673.67,2810786.62
1,2023-10,336051.06,3146837.68
1,2023-11,-435355.72,2711481.96
1,2023-12,-1126881.62,1584600.34
1,2024-01,10257.22,1594857.56
1,2024-02,11735.64,1606593.2
1,2024-03,-366402.94,1240190.26
1,2024-04,-344255.5,895934.76
1,2024-05,-701887.44,194047.32
1,2024-06,-38289.7,155757.62
1,2024-07,-184913.68,-29156.06
1,2024-08,61023.61,31867.55
1,2024-09,19509.47,51377.02
1,2024-10,-91159.52,-39782.5
1,2024-11,82503.29,42720.79
1,2024-12,-279898.37,-237177.58
1,2025-01,-7084.08,-244261.66
1,2025-02,-219012.6,-463274.26
1,2025-03,-313663.12,-776937.38
1,2025-04,24989.28,-751948.1
1,2025-05,167935.6,-584012.5
1,2025-06,76644.93,-507367.57
1,2025-07,154494.59,-352872.98
1,2025-08,244408.29,-108464.69
1,2025-09,-401910.66,-510375.35
1,2025-10,59858.3,-450517.05
1,2025-11,37721.17,-412795.88
1,2025-12,-165712.96,-578508.84
1,2026-01,14170.77,-564338.07
1,2026-02,41435.31,-522902.76
1,2026-03,-57164.19,-580066.95
2,2022-01,68719.25,68719.25
2,2022-02,11631.27,80350.52
2,2022-03,-38085.87,42264.65
2,2022-04,20275.71,62540.36
2,2022-05,4780.82,67321.18
2,2022-06,-17474.74,49846.44
2,2022-07,89944.08,139790.52
2,2022-08,10513.26,150303.78
2,2022-09,-26091.45,124212.33
