ID,ID_DET_DEMONSTRATIVO_REFERENCIA,PADRAO_CTACTB,SINAL
45292,5,2.1.01.01.000896,-1
45293,5,2.1.01.01.000897,-1
45294,5,2.1.01.01.000007,-1
45295,5,2.1.01.01.000005,-1
45296,5,2.1.01.01.000006,-1
45297,5,2.1.01.01.000899,-1
45298,5,2.1.01.01.000898,-1
45299,5,2.1.01.01.000004,-1
45300,5,2.1.01.01.000900,-1
45301,5,2.1.01.01.000008,-1
45302,5,2.1.01.02.000941,-1
45303,5,2.1.01.02.001290,-1
45304,5,2.1.01.02.000601,-1
45305,5,2.1.01.02.000391,-1
45306,5,2.1.01.02.000267,-1
45307,5,2.1.01.02.000583,-1
45308,5,2.1.01.02.000642,-1
45309,5,2.1.01.02.000019,-1
45310,5,2.1.01.02.000320,-1
45311,5,2.1.01.02.000817,-1
45312,5,2.1.01.02.001554,-1
45313,5,2.1.01.02.000848,-1
45314,5,2.1.01.02.000935,-1
45315,5,2.1.01.02.000198,-1
45316,5,2.1.01.02.000540,-1
45317,5,2.1.01.02.000468,-1
45318,5,2.1.01.02.000934,-1
45319,5,2.1.01.02.001116,-1
45320,5,2.1.01.02.000900,-1
45321,5,2.1.01.02.000710,-1
45322,5,2.1.01.02.000563,-1
45323,5,2.1.01.02.000382,-1
45324,5,2.1.01.02.000553,-1
45325,5,2.1.01.02.000834,-1
45326,5,2.1.01.02.000574,-1
45327,5,2.1.01.02.000313,-1
45328,5,2.1.01.02.000944,-1
45329,5,2.1.01.02.000768,-1
45330,5,2.1.01.02.001010,-1
45331,5,2.1.01.02.000009,-1
45332,5,2.1.01.02.001220,-1
45333,5,2.1.01.02.000148,-1
45334,5,2.1.01.02.000761,-1
45335,5,2.1.01.02.001276,-1
45336,5,2.1.01.02.001205,-1
45337,5,2.1.01.02.001123,-1
45338,5,2.1.01.02.001311,-1
45339,5,2.1.01.02.001345,-1
45340,5,2.1.01.02.001243,-1
45341,5,2.1.01.02.000389,-1
45342,5,2.1.01.02.001322,-1
45343,5,2.1.01.02.000894,-1
45344,5,2.1.01.02.000727,-1
45345,5,2.1.01.02.000225,-1
45346,5,2.1.01.02.001434,-1
45347,5,2.1.01.02.000893,-1
45348,5,2.1.01.02.000565,-1
45349,5,2.1.01.02.001281,-1
45350,5,2.1.01.02.000113,-1
45351,5,2.1.01.02.000053,-1
45352,5,2.1.01.02.001045,-1
45353,5,2.1.01.02.001343,-1
45354,5,2.1.01.02.000054,-1
45355,5,2.1.01.02.001380,-1
45356,5,2.1.01.02.001469,-1
45357,5,2.1.01.02.000515,-1
45358,5,2.1.01.02.001259,-1
45359,5,2.1.01.02.000056,-1
45360,5,2.1.01.02.000907,-1
45361,5,2.1.01.02.000381,-1
45362,5,2.1.01.02.000892,-1
45363,5,2.1.01.02.000226,-1
45364,5,2.1.01.02.001484,-1
45365,5,2.1.01.02.001563,-1
45366,5,2.1.01.02.000630,-1
45367,5,2.1.01.02.001053,-1
45368,5,2.1.01.02.001152,-1
45369,5,2.1.01.02.000308,-1
45370,5,2.1.01.02.001042,-1
45371,5,2.1.01.02.000460,-1
45372,5,2.1.01.02.000499,-1
45373,5,2.1.01.02.001720,-1
45374,5,2.1.01.02.000899,-1
45375,5,2.1.01.02.001051,-1
45376,5,2.1.01.02.000228,-1
45377,5,2.1.01.02.001588,-1
45378,5,2.1.01.02.000088,-1
45379,5,2.1.01.02.000870,-1
45380,5,2.1.01.02.001440,-1
45381,5,2.1.01.02.001610,-1
45382,5,2.1.01.02.000269,-1
45383,5,2.1.01.02.000169,-1
45384,5,2.1.01.02.001314,-1
45385,5,2.1.01.02.000251,-1
45386,5,2.1.01.02.001673,-1
45387,5,2.1.01.02.001493,-1
45388,5,2.1.01.02.000318,-1
45389,5,2.1.01.02.000753,-1
45390,5,2.1.01.02.001856,-1
45391,5,2.1.01.02.001857,-1
45392,5,2.1.01.02.000734,-1
45393,5,2.1.01.02.001668,-1
45394,5,2.1.01.02.001691,-1
45395,5,2.1.01.02.001074,-1
45396,5,2.1.01.02.000147,-1
45397,5,2.1.01.02.000217,-1
45398,5,2.1.01.02.001293,-1
45399,5,2.1.01.02.000473,-1
45400,5,2.1.01.02.001847,-1
45401,5,2.1.01.02.000990,-1
45402,5,2.1.01.02.001682,-1
45403,5,2.1.01.02.000998,-1
45404,5,2.1.01.02.001810,-1
45405,5,2.1.01.02.000824,-1
45406,5,2.1.01.02.001207,-1
45407,5,2.1.01.02.000331,-1
45408,5,2.1.01.02.001782,-1
45409,5,2.1.01.02.000034,-1
45410,5,2.1.01.02.000829,-1
45411,5,2.1.01.02.001444,-1
45412,5,2.1.01.02.000196,-1
45413,5,2.1.01.02.001765,-1
45414,5,2.1.01.02.001318,-1
45415,5,2.1.01.02.000043,-1
45416,5,2.1.01.02.001848,-1
45417,5,2.1.01.02.001621,-1
45418,5,2.1.01.02.000873,-1
45419,5,2.1.01.02.001802,-1
45420,5,2.1.01.02.000902,-1
45421,5,2.1.01.02.001369,-1
45422,5,2.1.01.02.001723,-1
45423,5,2.1.01.02.001078,-1
45424,5,2.1.01.02.001412,-1
45425,5,2.1.01.02.000735,-1
45426,5,2.1.01.02.001007,-1
45427,5,2.1.01.02.000349,-1
45428,5,2.1.01.02.000596,-1
45429,5,2.1.01.02.001772,-1
45430,5,2.1.01.02.002056,-1
45431,5,2.1.01.02.001686,-1
45432,5,2.1.01.02.001874,-1
45433,5,2.1.01.02.000648,-1
45434,5,2.1.01.02.002043,-1
45435,5,2.1.01.02.001910,-1
45436,5,2.1.01.02.000111,-1
45437,5,2.1.01.02.001670,-1
45438,5,2.1.01.02.001216,-1
